diagnosis,recommended_drugs
"tourette's disorder, patient stable","Haloperidol, Pimozide, Clonidine"
social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
Bipolar II,"Lamotrigine, Lithium, Quetiapine"
"anorexia nervosa, experiencing hallucinations","Olanzapine, Fluoxetine, Mirtazapine"
borderline personality,"Lamotrigine, Aripiprazole, Fluoxetine"
patient presents with opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
Cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
"narcolepsy, poor sleep quality","Modafinil, Armodafinil, Sodium oxybate"
severe body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
"major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
"Assessment: Bipolar I disorder, depressed episode","Lurasidone, Quetiapine, Lamotrigine"
assessment: borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
Acute exacerbation of Schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
"Major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
acute exacerbation of panic disorder,"Alprazolam, Clonazepam, Paroxetine"
Patient presents with Brief psychotic disorder,"Haloperidol, Risperidone, Olanzapine"
"narcolepsy, suicidal ideation present","Modafinil, Armodafinil, Sodium oxybate"
Nicotine dependence - experiencing hallucinations,"Varenicline, Bupropion, Nicotine patch"
brief psychotic disorder,"Haloperidol, Risperidone, Olanzapine"
chronic obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
"Acute exacerbation of Bipolar I disorder, manic episode","Lithium, Valproate, Quetiapine"
"schizophrenia, unspecified, cognitive decline","Risperidone, Olanzapine, Aripiprazole"
"restless legs syndrome, high anxiety levels","Pramipexole, Ropinirole, Gabapentin"
"schizoaffective disorder, needs dosage adjustment","Paliperidone, Clozapine, Haloperidol"
Chronic Restless legs syndrome,"Pramipexole, Ropinirole, Gabapentin"
Chronic Bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
Schizotypal personality disorder,"Risperidone, Olanzapine, Haloperidol"
Persistent depressive disorder (Dysthymia) - compliant with meds,"Citalopram, Sertraline, Mirtazapine"
Chronic Restless legs syndrome,"Pramipexole, Ropinirole, Gabapentin"
Bipolar II disorder - experiencing hallucinations,"Lamotrigine, Lithium, Quetiapine"
Bulimia nervosa - experiencing hallucinations,"Fluoxetine, Topiramate, Sertraline"
schizotypal personality disorder,"Risperidone, Olanzapine, Haloperidol"
Schizotypal personality disorder - cognitive decline,"Risperidone, Olanzapine, Haloperidol"
Mild Seasonal affective disorder,"Bupropion, Fluoxetine, Sertraline"
"schizoaffective disorder, compliant with meds","Paliperidone, Clozapine, Haloperidol"
Primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
Bipolar II disorder - first psychotic episode,"Lamotrigine, Lithium, Quetiapine"
nervousness or,"Hydroxyzine, Buspirone, Propranolol"
suspected attention-deficit hyperactivity disorder (adhd),"Methylphenidate, Amphetamine, Atomoxetine"
"Bipolar I disorder, depressed episode - experiencing hallucinations","Lurasidone, Quetiapine, Lamotrigine"
Chronic Acute stress disorder,"Clonazepam, Propranolol, Hydroxyzine"
Patient presents with Generalized anxiety disorder,"Sertraline, Buspirone, Venlafaxine"
"acute stress disorder, needs dosage adjustment","Clonazepam, Propranolol, Hydroxyzine"
Persistent depressive disorder (Dysthymia),"Citalopram, Sertraline, Mirtazapine"
High risk of Panic disorder,"Alprazolam, Clonazepam, Paroxetine"
DSM-5 Diagnosis: Cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
"brief psychotic disorder, outpatient follow-up","Haloperidol, Risperidone, Olanzapine"
post-traumatic stress disorder (ptsd),"Sertraline, Paroxetine, Prazosin"
Opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
Narcolepsy - agitated behavior,"Modafinil, Armodafinil, Sodium oxybate"
delusional disorder,"Aripiprazole, Risperidone, Pimozide"
severe agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
Mild Delusional disorder,"Aripiprazole, Risperidone, Pimozide"
Bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
Nicotine dependence - outpatient follow-up,"Varenicline, Bupropion, Nicotine patch"
"Major depressive disorder, recurrent - first psychotic episode","Venlafaxine, Duloxetine, Bupropion"
"Schizophrenia, unspecified - cognitive decline","Risperidone, Olanzapine, Aripiprazole"
"major depressive disorder, single episode","Sertraline, Fluoxetine, Escitalopram"
severe borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
"binge-eating disorder, mood swings reported","Lisdexamfetamine, Topiramate, Fluoxetine"
suspected autism spectrum disorder (irritability),"Risperidone, Aripiprazole, Guanfacine"
Binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
Acute exacerbation of Nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
Chronic Adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
Assessment: Panic disorder,"Alprazolam, Clonazepam, Paroxetine"
Obsessive-compulsive disorder - poor sleep quality,"Fluvoxamine, Clomipramine, Fluoxetine"
chronic persistent depressive disorder (dysthymia),"Citalopram, Sertraline, Mirtazapine"
binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
"acute stress disorder, agitated behavior","Clonazepam, Propranolol, Hydroxyzine"
"restless legs syndrome, mood swings reported","Pramipexole, Ropinirole, Gabapentin"
"High risk of Bipolar I disorder, manic episode","Lithium, Valproate, Quetiapine"
Primary insomnia - compliant with meds,"Zolpidem, Eszopiclone, Trazodone"
Assessment: Adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
history of persistent depressive disorder (dysthymia),"Citalopram, Sertraline, Mirtazapine"
Nervousness or severe stress - patient stable,"Hydroxyzine, Buspirone, Propranolol"
schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
chronic borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
Tourette's disorder - needs dosage adjustment,"Haloperidol, Pimozide, Clonidine"
"nervousness or severe stress, worsening symptoms","Hydroxyzine, Buspirone, Propranolol"
Assessment: Delusional disorder,"Aripiprazole, Risperidone, Pimozide"
patient presents with social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
Tourette's disorder - needs dosage adjustment,"Haloperidol, Pimozide, Clonidine"
acute exacerbation of bipolar ii disorder,"Lamotrigine, Lithium, Quetiapine"
chronic opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
"Major depressive disorder, single episode - poor sleep quality","Sertraline, Fluoxetine, Escitalopram"
"post-traumatic stress disorder (ptsd), patient stable","Sertraline, Paroxetine, Prazosin"
dsm-5 diagnosis: schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
dsm-5 diagnosis: alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
Anorexia nervosa - high anxiety levels,"Olanzapine, Fluoxetine, Mirtazapine"
Primary insomnia - compliant with meds,"Zolpidem, Eszopiclone, Trazodone"
Acute stress disorder - poor sleep quality,"Clonazepam, Propranolol, Hydroxyzine"
Hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
"schizophrenia, unspecified, mood swings reported","Risperidone, Olanzapine, Aripiprazole"
Hoarding disorder - compliant with meds,"Venlafaxine, Paroxetine, Sertraline"
"borderline personality disorder, high anxiety levels","Lamotrigine, Aripiprazole, Fluoxetine"
Tourette's disorder - requires hospitalization,"Haloperidol, Pimozide, Clonidine"
Schizoaffective disorder - patient stable,"Paliperidone, Clozapine, Haloperidol"
Generalized anxiety,"Sertraline, Buspirone, Venlafaxine"
chronic primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
"tourette's disorder, suicidal ideation present","Haloperidol, Pimozide, Clonidine"
obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
body dysmorphic,"Sertraline, Fluoxetine, Escitalopram"
chronic nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
"brief psychotic disorder, outpatient follow-up","Haloperidol, Risperidone, Olanzapine"
suspected primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
"borderline personality disorder, suicidal ideation present","Lamotrigine, Aripiprazole, Fluoxetine"
"adjustment disorder with depressed mood, requires hospitalization","Escitalopram, Sertraline, Bupropion"
Assessment: Nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
"binge-eating disorder, needs dosage adjustment","Lisdexamfetamine, Topiramate, Fluoxetine"
history of restless legs syndrome,"Pramipexole, Ropinirole, Gabapentin"
Binge-eating disorder - poor sleep quality,"Lisdexamfetamine, Topiramate, Fluoxetine"
Assessment: Persistent depressive disorder (Dysthymia),"Citalopram, Sertraline, Mirtazapine"
dsm-5 diagnosis: social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
Delusional disorder - suicidal ideation present,"Aripiprazole, Risperidone, Pimozide"
"Major depressive disorder, single episode - patient stable","Sertraline, Fluoxetine, Escitalopram"
dsm-5 diagnosis: generalized anxiety disorder,"Sertraline, Buspirone, Venlafaxine"
assessment: panic disorder,"Alprazolam, Clonazepam, Paroxetine"
"bipolar i disorder, depressed episode, resistant to therapy","Lurasidone, Quetiapine, Lamotrigine"
Schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
"mild bipolar i disorder, manic episode","Lithium, Valproate, Quetiapine"
severe attention-deficit hyperactivity disorder (adhd),"Methylphenidate, Amphetamine, Atomoxetine"
"patient presents with bipolar i disorder, manic episode","Lithium, Valproate, Quetiapine"
"brief psychotic disorder, worsening symptoms","Haloperidol, Risperidone, Olanzapine"
"panic disorder, poor sleep quality","Alprazolam, Clonazepam, Paroxetine"
"schizotypal personality disorder, worsening symptoms","Risperidone, Olanzapine, Haloperidol"
Borderline personality disorder - patient stable,"Lamotrigine, Aripiprazole, Fluoxetine"
Restless legs syndrome - agitated behavior,"Pramipexole, Ropinirole, Gabapentin"
"schizoaffective disorder, experiencing hallucinations","Paliperidone, Clozapine, Haloperidol"
History of Opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
Body dysmorphic disorder - compliant with meds,"Sertraline, Fluoxetine, Escitalopram"
history of attention-deficit hyperactivity disorder (adhd),"Methylphenidate, Amphetamine, Atomoxetine"
"autism spectrum disorder (irritability), requires hospitalization","Risperidone, Aripiprazole, Guanfacine"
severe alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
"Schizophrenia, unspecified - resistant to therapy","Risperidone, Olanzapine, Aripiprazole"
"Chronic Bipolar I disorder, depressed episode","Lurasidone, Quetiapine, Lamotrigine"
High risk of Schizotypal personality disorder,"Risperidone, Olanzapine, Haloperidol"
obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
Autism spectrum disorder (irritability) - worsening symptoms,"Risperidone, Aripiprazole, Guanfacine"
dsm-5 diagnosis: autism spectrum disorder (irritability),"Risperidone, Aripiprazole, Guanfacine"
cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
attention-deficit hyperactivity disorder (adhd),"Methylphenidate, Amphetamine, Atomoxetine"
Anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
Opioid dependence,"Buprenorphine, Naltrexone, Methadone"
generalized anxiety,"Sertraline, Buspirone, Venlafaxine"
social anxiety,"Sertraline, Propranolol, Venlafaxine"
patient presents with adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
"adjustment disorder with depressed mood, mood swings reported","Escitalopram, Sertraline, Bupropion"
severe hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
assessment: schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
"brief psychotic disorder, mood swings reported","Haloperidol, Risperidone, Olanzapine"
"obsessive-compulsive disorder, mood swings reported","Fluvoxamine, Clomipramine, Fluoxetine"
acute stress,"Clonazepam, Propranolol, Hydroxyzine"
persistent depressive disorder (dysthymia),"Citalopram, Sertraline, Mirtazapine"
cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
Assessment: Alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
Alcohol dependence - high anxiety levels,"Naltrexone, Acamprosate, Disulfiram"
"major depressive disorder, single episode, poor sleep quality","Sertraline, Fluoxetine, Escitalopram"
"brief psychotic disorder, mood swings reported","Haloperidol, Risperidone, Olanzapine"
Bulimia nervosa - requires hospitalization,"Fluoxetine, Topiramate, Sertraline"
chronic anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
DSM-5 Diagnosis: Bipolar II disorder,"Lamotrigine, Lithium, Quetiapine"
Restless legs syndrome - poor sleep quality,"Pramipexole, Ropinirole, Gabapentin"
assessment: anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
Acute stress disorder - cognitive decline,"Clonazepam, Propranolol, Hydroxyzine"
"Mild Bipolar I disorder, manic episode","Lithium, Valproate, Quetiapine"
borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
Social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
"restless legs syndrome, needs dosage adjustment","Pramipexole, Ropinirole, Gabapentin"
Assessment: Tourette's disorder,"Haloperidol, Pimozide, Clonidine"
"restless legs syndrome, requires hospitalization","Pramipexole, Ropinirole, Gabapentin"
"alcohol withdrawal syndrome, agitated behavior","Chlordiazepoxide, Diazepam, Lorazepam"
Acute stress disorder - needs dosage adjustment,"Clonazepam, Propranolol, Hydroxyzine"
Schizotypal personality disorder - mood swings reported,"Risperidone, Olanzapine, Haloperidol"
Assessment: Body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
acute exacerbation of opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
Acute exacerbation of Autism spectrum disorder (irritability),"Risperidone, Aripiprazole, Guanfacine"
Adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
"delusional disorder, requires hospitalization","Aripiprazole, Risperidone, Pimozide"
"cyclothymic disorder, patient stable","Valproate, Lithium, Lamotrigine"
"panic disorder, outpatient follow-up","Alprazolam, Clonazepam, Paroxetine"
chronic tourette's disorder,"Haloperidol, Pimozide, Clonidine"
confirmed borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
"body dysmorphic disorder, first psychotic episode","Sertraline, Fluoxetine, Escitalopram"
patient presents with body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
"delusional disorder, agitated behavior","Aripiprazole, Risperidone, Pimozide"
patient presents with generalized anxiety disorder,"Sertraline, Buspirone, Venlafaxine"
Bulimia nervosa - compliant with meds,"Fluoxetine, Topiramate, Sertraline"
high risk of attention-deficit hyperactivity disorder (adhd),"Methylphenidate, Amphetamine, Atomoxetine"
Cyclothymic disorder - mood swings reported,"Valproate, Lithium, Lamotrigine"
Narcolepsy - patient stable,"Modafinil, Armodafinil, Sodium oxybate"
severe bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
acute stress,"Clonazepam, Propranolol, Hydroxyzine"
"agoraphobia, outpatient follow-up","Paroxetine, Sertraline, Fluoxetine"
"Chronic Bipolar I disorder, manic episode","Lithium, Valproate, Quetiapine"
Delusional disorder - experiencing hallucinations,"Aripiprazole, Risperidone, Pimozide"
Delusional disorder - experiencing hallucinations,"Aripiprazole, Risperidone, Pimozide"
Schizoaffective disorder - needs dosage adjustment,"Paliperidone, Clozapine, Haloperidol"
Brief psychotic,"Haloperidol, Risperidone, Olanzapine"
"generalized anxiety disorder, experiencing hallucinations","Sertraline, Buspirone, Venlafaxine"
Attention-deficit hyperactivity disorder (ADHD),"Methylphenidate, Amphetamine, Atomoxetine"
Post-traumatic stress disorder (PTSD) - needs dosage adjustment,"Sertraline, Paroxetine, Prazosin"
Tourette's disorder - resistant to therapy,"Haloperidol, Pimozide, Clonidine"
Alcohol withdrawal syndrome - patient stable,"Chlordiazepoxide, Diazepam, Lorazepam"
"agoraphobia, worsening symptoms","Paroxetine, Sertraline, Fluoxetine"
Adjustment disorder with depressed mood - cognitive decline,"Escitalopram, Sertraline, Bupropion"
Attention-deficit hyperactivity disorder (ADHD) - needs dosage adjustment,"Methylphenidate, Amphetamine, Atomoxetine"
acute exacerbation of attention-deficit hyperactivity disorder (adhd),"Methylphenidate, Amphetamine, Atomoxetine"
Severe Bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
high risk of autism spectrum disorder (irritability),"Risperidone, Aripiprazole, Guanfacine"
"history of schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
history of alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
Acute stress disorder - agitated behavior,"Clonazepam, Propranolol, Hydroxyzine"
obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
tourette's disorder,"Haloperidol, Pimozide, Clonidine"
"binge-eating disorder, poor sleep quality","Lisdexamfetamine, Topiramate, Fluoxetine"
DSM-5 Diagnosis: Bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
Acute exacerbation of Generalized anxiety disorder,"Sertraline, Buspirone, Venlafaxine"
DSM-5 Diagnosis: Cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
dsm-5 diagnosis: acute stress disorder,"Clonazepam, Propranolol, Hydroxyzine"
Patient presents with Hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
Brief psychotic disorder - first psychotic episode,"Haloperidol, Risperidone, Olanzapine"
chronic restless legs syndrome,"Pramipexole, Ropinirole, Gabapentin"
History of Restless legs syndrome,"Pramipexole, Ropinirole, Gabapentin"
"Major depressive disorder, recurrent - requires hospitalization","Venlafaxine, Duloxetine, Bupropion"
suspected schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
patient presents with brief psychotic disorder,"Haloperidol, Risperidone, Olanzapine"
high risk of narcolepsy,"Modafinil, Armodafinil, Sodium oxybate"
"schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
opioid dependence,"Buprenorphine, Naltrexone, Methadone"
Body dysmorphic disorder - mood swings reported,"Sertraline, Fluoxetine, Escitalopram"
Assessment: Cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
"persistent depressive disorder (dysthymia), requires hospitalization","Citalopram, Sertraline, Mirtazapine"
History of Opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
Chronic Acute stress disorder,"Clonazepam, Propranolol, Hydroxyzine"
Borderline personality disorder - patient stable,"Lamotrigine, Aripiprazole, Fluoxetine"
Bulimia nervosa - suicidal ideation present,"Fluoxetine, Topiramate, Sertraline"
acute exacerbation of narcolepsy,"Modafinil, Armodafinil, Sodium oxybate"
history of opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
Confirmed Nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
severe adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
acute exacerbation of autism spectrum disorder (irritability),"Risperidone, Aripiprazole, Guanfacine"
"major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
"bipolar ii disorder, agitated behavior","Lamotrigine, Lithium, Quetiapine"
Adjustment disorder with depressed mood - outpatient follow-up,"Escitalopram, Sertraline, Bupropion"
Major depressive,"Venlafaxine, Duloxetine, Bupropion"
severe adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
confirmed opioid dependence,"Buprenorphine, Naltrexone, Methadone"
tourette's disorder,"Haloperidol, Pimozide, Clonidine"
Tourette's disorder - mood swings reported,"Haloperidol, Pimozide, Clonidine"
"dsm-5 diagnosis: bipolar i disorder, depressed episode","Lurasidone, Quetiapine, Lamotrigine"
mild panic disorder,"Alprazolam, Clonazepam, Paroxetine"
"schizotypal personality disorder, patient stable","Risperidone, Olanzapine, Haloperidol"
"nicotine dependence, agitated behavior","Varenicline, Bupropion, Nicotine patch"
Body dysmorphic,"Sertraline, Fluoxetine, Escitalopram"
Nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
Chronic Post-traumatic stress disorder (PTSD),"Sertraline, Paroxetine, Prazosin"
Confirmed Opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
suspected cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
"seasonal affective disorder, patient stable","Bupropion, Fluoxetine, Sertraline"
dsm-5 diagnosis: social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
"Bipolar I disorder, depressed episode - patient stable","Lurasidone, Quetiapine, Lamotrigine"
brief psychotic,"Haloperidol, Risperidone, Olanzapine"
acute exacerbation of agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
"DSM-5 Diagnosis: Major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
Attention-deficit hyperactivity disorder (ADHD) - mood swings reported,"Methylphenidate, Amphetamine, Atomoxetine"
Adjustment disorder with depressed mood - patient stable,"Escitalopram, Sertraline, Bupropion"
Suspected Anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
"schizophrenia, unspecified, experiencing hallucinations","Risperidone, Olanzapine, Aripiprazole"
Confirmed Generalized anxiety disorder,"Sertraline, Buspirone, Venlafaxine"
Nicotine dependence - poor sleep quality,"Varenicline, Bupropion, Nicotine patch"
mild alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
mild schizotypal personality disorder,"Risperidone, Olanzapine, Haloperidol"
Adjustment disorder,"Escitalopram, Sertraline, Bupropion"
assessment: obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
severe adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
suspected seasonal affective disorder,"Bupropion, Fluoxetine, Sertraline"
"bulimia nervosa, cognitive decline","Fluoxetine, Topiramate, Sertraline"
acute exacerbation of tourette's disorder,"Haloperidol, Pimozide, Clonidine"
Cyclothymic disorder - outpatient follow-up,"Valproate, Lithium, Lamotrigine"
"bipolar i disorder, manic episode","Lithium, Valproate, Quetiapine"
"hoarding disorder, worsening symptoms","Venlafaxine, Paroxetine, Sertraline"
confirmed attention-deficit hyperactivity disorder (adhd),"Methylphenidate, Amphetamine, Atomoxetine"
"Schizophrenia, unspecified - resistant to therapy","Risperidone, Olanzapine, Aripiprazole"
"alcohol dependence, suicidal ideation present","Naltrexone, Acamprosate, Disulfiram"
"binge-eating disorder, worsening symptoms","Lisdexamfetamine, Topiramate, Fluoxetine"
binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
Nervousness or severe stress - worsening symptoms,"Hydroxyzine, Buspirone, Propranolol"
"anorexia nervosa, high anxiety levels","Olanzapine, Fluoxetine, Mirtazapine"
Body dysmorphic,"Sertraline, Fluoxetine, Escitalopram"
Adjustment disorder with depressed mood - first psychotic episode,"Escitalopram, Sertraline, Bupropion"
Tourette's disorder - resistant to therapy,"Haloperidol, Pimozide, Clonidine"
nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
Cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
Body dysmorphic disorder - poor sleep quality,"Sertraline, Fluoxetine, Escitalopram"
confirmed post-traumatic stress disorder (ptsd),"Sertraline, Paroxetine, Prazosin"
Acute exacerbation of Persistent depressive disorder (Dysthymia),"Citalopram, Sertraline, Mirtazapine"
"DSM-5 Diagnosis: Bipolar I disorder, depressed episode","Lurasidone, Quetiapine, Lamotrigine"
"adjustment disorder with depressed mood, resistant to therapy","Escitalopram, Sertraline, Bupropion"
Bulimia nervosa - resistant to therapy,"Fluoxetine, Topiramate, Sertraline"
Opioid withdrawal - requires hospitalization,"Buprenorphine, Methadone, Clonidine"
assessment: primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
suspected seasonal affective disorder,"Bupropion, Fluoxetine, Sertraline"
"Patient presents with Schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
dsm-5 diagnosis: acute stress disorder,"Clonazepam, Propranolol, Hydroxyzine"
"suspected schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
seasonal affective,"Bupropion, Fluoxetine, Sertraline"
Hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
Patient presents with Brief psychotic disorder,"Haloperidol, Risperidone, Olanzapine"
Chronic Opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
Acute stress disorder,"Clonazepam, Propranolol, Hydroxyzine"
tourette's disorder,"Haloperidol, Pimozide, Clonidine"
hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
Delusional disorder,"Aripiprazole, Risperidone, Pimozide"
"adjustment disorder with depressed mood, worsening symptoms","Escitalopram, Sertraline, Bupropion"
Severe Generalized anxiety disorder,"Sertraline, Buspirone, Venlafaxine"
"Confirmed Major depressive disorder, single episode","Sertraline, Fluoxetine, Escitalopram"
generalized anxiety disorder,"Sertraline, Buspirone, Venlafaxine"
"generalized anxiety disorder, first psychotic episode","Sertraline, Buspirone, Venlafaxine"
Severe Primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
History of Nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
Restless legs syndrome - agitated behavior,"Pramipexole, Ropinirole, Gabapentin"
"cyclothymic disorder, first psychotic episode","Valproate, Lithium, Lamotrigine"
Social anxiety disorder - high anxiety levels,"Sertraline, Propranolol, Venlafaxine"
confirmed primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
high risk of seasonal affective disorder,"Bupropion, Fluoxetine, Sertraline"
alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
Binge-eating disorder - outpatient follow-up,"Lisdexamfetamine, Topiramate, Fluoxetine"
High risk of Anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
Chronic Cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
Acute stress disorder - mood swings reported,"Clonazepam, Propranolol, Hydroxyzine"
Binge-eating disorder - poor sleep quality,"Lisdexamfetamine, Topiramate, Fluoxetine"
"Acute exacerbation of Major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
Brief psychotic disorder - outpatient follow-up,"Haloperidol, Risperidone, Olanzapine"
acute exacerbation of panic disorder,"Alprazolam, Clonazepam, Paroxetine"
"opioid withdrawal, requires hospitalization","Buprenorphine, Methadone, Clonidine"
"confirmed bipolar i disorder, depressed episode","Lurasidone, Quetiapine, Lamotrigine"
Assessment: Opioid dependence,"Buprenorphine, Naltrexone, Methadone"
Obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
Mild Bipolar II disorder,"Lamotrigine, Lithium, Quetiapine"
patient presents with schizotypal personality disorder,"Risperidone, Olanzapine, Haloperidol"
Nervousness or severe stress - outpatient follow-up,"Hydroxyzine, Buspirone, Propranolol"
post-traumatic stress disorder (ptsd),"Sertraline, Paroxetine, Prazosin"
"schizophrenia, unspecified, experiencing hallucinations","Risperidone, Olanzapine, Aripiprazole"
acute exacerbation of generalized anxiety disorder,"Sertraline, Buspirone, Venlafaxine"
Bulimia nervosa - first psychotic episode,"Fluoxetine, Topiramate, Sertraline"
Suspected Body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
Nicotine dependence - suicidal ideation present,"Varenicline, Bupropion, Nicotine patch"
"Bipolar I disorder, depressed episode - outpatient follow-up","Lurasidone, Quetiapine, Lamotrigine"
"Confirmed Major depressive disorder, single episode","Sertraline, Fluoxetine, Escitalopram"
Anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
severe delusional disorder,"Aripiprazole, Risperidone, Pimozide"
Obsessive-compulsive disorder - needs dosage adjustment,"Fluvoxamine, Clomipramine, Fluoxetine"
"acute exacerbation of bipolar i disorder, depressed episode","Lurasidone, Quetiapine, Lamotrigine"
"chronic bipolar i disorder, manic episode","Lithium, Valproate, Quetiapine"
History of Bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
Acute exacerbation of Bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
"alcohol withdrawal syndrome, experiencing hallucinations","Chlordiazepoxide, Diazepam, Lorazepam"
DSM-5 Diagnosis: Bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
