diagnosis,severity
"Thrombocytopenia, unspecified",MEDIUM
"Hypothyroidism, unspecified - moderate symptoms, requires monitoring",MEDIUM
M25.50: Pain in unspecified joint (slight discomfort reported),LOW
"C25.9: Malignant neoplasm of pancreas, unspecified (severe trauma protocol active)",HIGH
dysuria,LOW
Multiple sclerosis - severe trauma protocol active,HIGH
"Liver cell carcinoma - critical condition, ICU admission",HIGH
"Acute emergency, rapid response due to Acute and subacute hepatic failure",HIGH
"Viral infection, unspecified - minor condition, follow-up in 2 weeks",LOW
"Acute myocardial infarction, unspecified",HIGH
Stable but requires medication adjustment due to Infectious gastroenteritis and colitis,MEDIUM
"N18.3: Chronic kidney disease, stage 3 (uncomfortable episode, managing with meds)",MEDIUM
"J43.9: Emphysema, unspecified (severe trauma protocol active)",HIGH
gastro-esophageal reflux problem,MEDIUM
"Viral wart, unspecified",LOW
J80 Acute respiratory,HIGH
"acute bronchitis, unspecified",MEDIUM
"I46.9: Cardiac arrest, cause unspecified (advanced stage, palliative care discussed)",HIGH
"Minor condition, follow-up in 2 weeks due to Constipation, unspecified",LOW
Acute nasopharyngitis (common cold),LOW
"schizophrenia, unspecified",HIGH
confirmed case of acute nasopharyngitis (common cold),LOW
"L50.9: Urticaria, unspecified (self-limiting condition)",LOW
assessment: chronic obstructive pulmonary disease with exacerbation,MEDIUM
"J45.20: Mild intermittent asthma, uncomplicated (follow-up required in 1 week)",MEDIUM
"dermatitis, unspecified",LOW
"H66.90 Otitis media,",LOW
"Type 1 diabetes with ketoacidosis - advanced stage, palliative care discussed",HIGH
"Viral infection, unspecified - slight discomfort reported",LOW
"Abdominal aortic aneurysm, ruptured",HIGH
"Chronic obstructive pulmonary disease with exacerbation - chronic condition, ongoing treatment",MEDIUM
Paroxysmal atrial fibrillation,MEDIUM
acute and problem,HIGH
"Recurring symptoms due to Rheumatoid arthritis, unspecified",MEDIUM
"J06.9 - Acute upper respiratory infection, unspecified",LOW
Type 2 diabetes with hyperglycemia - fatal prognosis risk,HIGH
"H66.90: Otitis media, unspecified (no acute distress)",LOW
"Impacted cerumen, unspecified ear",LOW
"confirmed case of emphysema, unspecified",HIGH
"K29.70: Gastritis, unspecified (minor condition, follow-up in 2 weeks)",LOW
"iron deficiency anemia, unspecified",LOW
"Severe presentation, urgent care needed due to Acute respiratory distress syndrome",HIGH
Superficial injury of unspecified body region - routine exam,LOW
"F32.1 - Major depressive disorder, single episode, moderate",MEDIUM
Generalized anxiety disorder - stable but requires medication adjustment,MEDIUM
assessment: multiple sclerosis,HIGH
"Severe presentation, urgent care needed due to Acute kidney failure, unspecified",HIGH
I25.10 - Atherosclerotic heart disease,MEDIUM
"Heart failure, unspecified - fatal prognosis risk",HIGH
Immediate surgery required due to Pulmonary embolism without acute cor pulmonale,HIGH
"Patient presents with Spondylosis with radiculopathy, cervical",MEDIUM
"C22.0: Liver cell carcinoma (acute emergency, rapid response)",HIGH
"cardiac arrest, cause unspecified",HIGH
Confirmed case of Psoriasis vulgaris,MEDIUM
"Suspected Acute bronchitis, unspecified",MEDIUM
"G12.21: Amyotrophic lateral sclerosis (ALS) (life-threatening, immediate intervention)",HIGH
G47.33 Obstructive sleep,MEDIUM
diverticulosis of problem,MEDIUM
"Bacterial infection, unspecified (severe)",HIGH
J30.1: Allergic rhinitis due to pollen (routine exam),LOW
myalgia,LOW
Severe trauma protocol active due to Type 2 diabetes with hyperglycemia,HIGH
"Chronic kidney disease, stage 3",MEDIUM
age-related osteoporosis without fracture,MEDIUM
Type 1 diabetes with ketoacidosis - severe trauma protocol active,HIGH
K05.10 - Chronic gingivitis,LOW
"B34.9 - Viral infection, unspecified",LOW
"Advanced stage, palliative care discussed due to Disseminated intravascular coagulation",HIGH
"Acute kidney failure, unspecified - life-threatening, immediate intervention",HIGH
"G35: Multiple sclerosis (critical condition, ICU admission)",HIGH
No acute distress due to Lateral epicondylitis,LOW
"G40.909: Epilepsy, unspecified, not intractable (stable but requires medication adjustment)",MEDIUM
"Allergy, unspecified - minor pain, prescribed rest",LOW
"Bipolar disorder, unspecified",MEDIUM
Generalized anxiety disorder - stable but requires medication adjustment,MEDIUM
"hydrocephalus, unspecified",HIGH
Superficial injury of unspecified body region - self-limiting condition,LOW
"I21.9 - Acute myocardial infarction, unspecified",HIGH
"L60.0: Ingrowing nail (minor condition, follow-up in 2 weeks)",LOW
M79.1: Myalgia (self-limiting condition),LOW
"Patient stable, outpatient treatment due to Nervousness",LOW
"Migraine, unspecified, not intractable - moderate symptoms, requires monitoring",MEDIUM
Assessment: Liver cell carcinoma,HIGH
"Assessment: Thrombocytopenia, unspecified",MEDIUM
"Assessment: Spondylosis with radiculopathy, cervical",MEDIUM
B20: Human immunodeficiency virus (HIV) disease (immediate surgery required),HIGH
essential (primary) problem,MEDIUM
unspecified cirrhosis of liver,HIGH
Assessment: Multiple sclerosis,HIGH
"F32.1: Major depressive disorder, single episode, moderate (stable but requires medication adjustment)",MEDIUM
paroxysmal atrial problem,MEDIUM
J44.1 Chronic obstructive,MEDIUM
"bipolar disorder, problem",MEDIUM
K57.30 Diverticulosis of,MEDIUM
chronic gingivitis,LOW
"Allergic rhinitis, unspecified",LOW
"No acute distress due to Iron deficiency anemia, unspecified",LOW
"K29.70: Gastritis, unspecified (self-limiting condition)",LOW
B20: Human immunodeficiency virus (HIV) disease (immediate surgery required),HIGH
"Rheumatoid arthritis, unspecified - follow-up required in 1 week",MEDIUM
"I50.9 - Heart failure, unspecified",HIGH
"Dysuria - mild symptoms, no complications",LOW
"confirmed case of conjunctivitis, unspecified",LOW
"Critical condition, icu admission due to Malignant neoplasm of brain, unspecified",HIGH
"Dermatitis, unspecified - minor condition, follow-up in 2 weeks",LOW
Suspected Psoriasis vulgaris,MEDIUM
"patient presents with sepsis, unspecified organism",HIGH
"Patient stable, outpatient treatment due to Unspecified abdominal pain",LOW
I10: Essential (primary) hypertension (needs specialist referral),MEDIUM
"I63.9: Cerebral infarction, unspecified (stroke) (severe trauma protocol active)",HIGH
"G40.909: Epilepsy, unspecified, not intractable (stable but requires medication adjustment)",MEDIUM
"Severe presentation, urgent care needed due to Disseminated intravascular coagulation",HIGH
C22.0 Liver cell,HIGH
"Iron deficiency anemia, unspecified - minor pain, prescribed rest",LOW
"Chronic condition, ongoing treatment due to Crohn disease, unspecified",MEDIUM
"Acute pharyngitis, unspecified - routine exam",LOW
"Moderate symptoms, requires monitoring due to Rheumatoid arthritis, unspecified",MEDIUM
Acute leukemia of unspecified cell type,HIGH
patient presents with liver cell carcinoma,HIGH
Multiple sclerosis - fatal prognosis risk,HIGH
"Recurring symptoms due to Post-traumatic stress disorder, unspecified",MEDIUM
"Fatal prognosis risk due to Malignant neoplasm of brain, unspecified",HIGH
"Critical condition, icu admission due to Malignant neoplasm of pancreas, unspecified",HIGH
"Severe presentation, urgent care needed due to Heart failure, unspecified",HIGH
Liver cell carcinoma,HIGH
"Recurring symptoms due to Thyrotoxicosis, unspecified",MEDIUM
"alzheimer disease, unspecified",HIGH
"Urinary tract infection, site not specified",LOW
"Alzheimer disease, unspecified - life-threatening, immediate intervention",HIGH
"Psoriasis vulgaris - uncomfortable episode, managing with meds",MEDIUM
"Minor condition, follow-up in 2 weeks due to Panniculitis, unspecified",LOW
Allergic rhinitis due to pollen - no acute distress,LOW
"Sepsis, unspecified organism - critical condition, ICU admission",HIGH
I25.10: Atherosclerotic heart disease (flare-up event),MEDIUM
"K02.9 - Dental caries, unspecified",LOW
"Vitamin E deficiency - minor condition, follow-up in 2 weeks",LOW
N17.9 Acute kidney,HIGH
"Liver cell carcinoma - life-threatening, immediate intervention",HIGH
"Contusion of finger - mild symptoms, no complications",LOW
assessment: human immunodeficiency virus (hiv) disease,HIGH
"Atopic dermatitis, unspecified",MEDIUM
"Chronic condition, ongoing treatment due to Dyslipidemia, unspecified",MEDIUM
contusion of finger,LOW
"F43.10: Post-traumatic stress disorder, unspecified (flare-up event)",MEDIUM
"Peripheral vascular disease, unspecified",MEDIUM
"Critical condition, icu admission due to Traumatic shock",HIGH
"assessment: bipolar disorder, unspecified",MEDIUM
"acute respiratory failure, unspecified",HIGH
Obstructive sleep apnea - recurring symptoms,MEDIUM
chronic obstructive pulmonary disease with exacerbation,MEDIUM
"Bacterial infection, unspecified (severe) - life-threatening, immediate intervention",HIGH
"M79.3: Panniculitis, unspecified (routine exam)",LOW
benign prostatic problem,MEDIUM
"S06.9 - Intracranial injury, unspecified",HIGH
"Urticaria, unspecified - minor pain, prescribed rest",LOW
"I48.0: Paroxysmal atrial fibrillation (uncomfortable episode, managing with meds)",MEDIUM
"Sepsis, unspecified organism - acute emergency, rapid response",HIGH
"H66.90 Otitis media,",LOW
Vitamin E deficiency - routine exam,LOW
"thrombocytopenia, unspecified",MEDIUM
"Acute bronchitis, unspecified - recurring symptoms",MEDIUM
Self-limiting condition due to Lateral epicondylitis,LOW
"malignant neoplasm of pancreas, unspecified",HIGH
"Heart failure, unspecified - critical condition, ICU admission",HIGH
chronic kidney problem,MEDIUM
"Alzheimer disease, unspecified - severe presentation, urgent care needed",HIGH
Acute leukemia of unspecified cell type,HIGH
"confirmed case of gastritis, unspecified",LOW
"E11.65: Type 2 diabetes with hyperglycemia (life-threatening, immediate intervention)",HIGH
"F32.1 - Major depressive disorder, single episode, moderate",MEDIUM
"J03.90: Acute tonsillitis, unspecified (slight discomfort reported)",LOW
Patient presents with Acute leukemia of unspecified cell type,HIGH
"ulcerative colitis, problem",MEDIUM
"atopic dermatitis, problem",MEDIUM
"crohn disease, problem",MEDIUM
Fatal prognosis risk due to Unspecified cirrhosis of liver,HIGH
"M79.3: Panniculitis, unspecified (minor condition, follow-up in 2 weeks)",LOW
myalgia,LOW
"Pneumonia, unspecified organism",MEDIUM
"conjunctivitis, unspecified",LOW
Type 2 diabetes with hyperglycemia,HIGH
"Dyslipidemia, unspecified - follow-up required in 1 week",MEDIUM
Ingrowing nail - slight discomfort reported,LOW
"E05.90: Thyrotoxicosis, unspecified (chronic condition, ongoing treatment)",MEDIUM
"S06.9: Intracranial injury, unspecified (critical condition, ICU admission)",HIGH
Acute nasopharyngitis (common cold) - self-limiting condition,LOW
Severe trauma protocol active due to Unspecified cirrhosis of liver,HIGH
"acute myocardial infarction, unspecified",HIGH
Chronic viral hepatitis C - follow-up required in 1 week,MEDIUM
"Major depressive disorder, single episode, moderate - flare-up event",MEDIUM
"Disseminated intravascular coagulation - advanced stage, palliative care discussed",HIGH
Obstructive sleep apnea,MEDIUM
"Stable but requires medication adjustment due to Thrombocytopenia, unspecified",MEDIUM
Needs specialist referral due to Obstructive sleep apnea,MEDIUM
"cardiac arrest, cause unspecified",HIGH
"I48.0: Paroxysmal atrial fibrillation (chronic condition, ongoing treatment)",MEDIUM
F41.1 - Generalized anxiety disorder,MEDIUM
"K72.00: Acute and subacute hepatic failure (critical condition, ICU admission)",HIGH
"Acute kidney failure, unspecified",HIGH
"Intracranial injury, unspecified - severe presentation, urgent care needed",HIGH
liver cell carcinoma,HIGH
"patient presents with constipation, unspecified",LOW
D65: Disseminated intravascular coagulation (fatal prognosis risk),HIGH
"D64.9: Anemia, unspecified (chronic condition, ongoing treatment)",MEDIUM
type 1 diabetes with ketoacidosis,HIGH
"Liver cell carcinoma - advanced stage, palliative care discussed",HIGH
"Conjunctivitis, unspecified - no acute distress",LOW
"I25.10: Atherosclerotic heart disease (uncomfortable episode, managing with meds)",MEDIUM
"History of Malignant neoplasm of colon, unspecified",HIGH
"I26.99: Pulmonary embolism without acute cor pulmonale (life-threatening, immediate intervention)",HIGH
"End stage renal disease - acute emergency, rapid response",HIGH
"Minor condition, follow-up in 2 weeks due to Urticaria, unspecified",LOW
suspected lateral epicondylitis,LOW
"Patient presents with Pneumonia, unspecified organism",MEDIUM
I10: Essential (primary) hypertension (stable but requires medication adjustment),MEDIUM
Psoriasis vulgaris,MEDIUM
"M25.50: Pain in unspecified joint (patient stable, outpatient treatment)",LOW
"Chronic condition, ongoing treatment due to Dyslipidemia, unspecified",MEDIUM
"No acute distress due to Acute pharyngitis, unspecified",LOW
Obstructive sleep apnea - flare-up event,MEDIUM
"I48.0: Paroxysmal atrial fibrillation (uncomfortable episode, managing with meds)",MEDIUM
"Cardiac arrest, cause unspecified - acute emergency, rapid response",HIGH
"Fatal prognosis risk due to Heart failure, unspecified",HIGH
"Dyslipidemia, unspecified - recurring symptoms",MEDIUM
J00: Acute nasopharyngitis (common cold) (routine exam),LOW
"Fatal prognosis risk due to Heart failure, unspecified",HIGH
"Epilepsy, unspecified, not intractable - follow-up required in 1 week",MEDIUM
"Acne vulgaris - minor pain, prescribed rest",LOW
Atherosclerotic heart disease - recurring symptoms,MEDIUM
assessment: paroxysmal atrial fibrillation,MEDIUM
"Stable but requires medication adjustment due to Atopic dermatitis, unspecified",MEDIUM
K57.30 - Diverticulosis of large intestine,MEDIUM
C22.0: Liver cell carcinoma (severe trauma protocol active),HIGH
"C50.919: Malignant neoplasm of unspecified site of breast (critical condition, ICU admission)",HIGH
"K51.90 - Ulcerative colitis, unspecified",MEDIUM
"Chronic kidney disease, stage 3",MEDIUM
acute leukemia problem,HIGH
"L50.9: Urticaria, unspecified (slight discomfort reported)",LOW
"J03.90 Acute tonsillitis,",LOW
"Chronic condition, ongoing treatment due to Bipolar disorder, unspecified",MEDIUM
history of obstructive sleep apnea,MEDIUM
"Rheumatoid arthritis, unspecified - uncomfortable episode, managing with meds",MEDIUM
Psoriasis vulgaris - recurring symptoms,MEDIUM
"Fatal prognosis risk due to Hydrocephalus, unspecified",HIGH
"Mild symptoms, no complications due to Otitis media, unspecified",LOW
confirmed case of unspecified abdominal pain,LOW
C22.0 - Liver cell carcinoma,HIGH
contusion of finger,LOW
C22.0: Liver cell carcinoma (fatal prognosis risk),HIGH
assessment: pain in unspecified joint,LOW
"J30.9: Allergic rhinitis, unspecified (patient stable, outpatient treatment)",LOW
Calculus of gallbladder without obstruction - flare-up event,MEDIUM
"Severe trauma protocol active due to Schizophrenia, unspecified",HIGH
Calculus of gallbladder without obstruction - needs specialist referral,MEDIUM
"Patient presents with Mild intermittent asthma, uncomplicated",MEDIUM
"C71.9: Malignant neoplasm of brain, unspecified (severe trauma protocol active)",HIGH
"Constipation, unspecified",LOW
Recurring symptoms due to Benign prostatic hyperplasia without obstruction,MEDIUM
"Malignant neoplasm of unspecified part of bronchus or lung - critical condition, ICU admission",HIGH
"G20: Parkinson disease (moderate symptoms, requires monitoring)",MEDIUM
"Minor condition, follow-up in 2 weeks due to Panniculitis, unspecified",LOW
"Conjunctivitis, unspecified - mild symptoms, no complications",LOW
"F43.10: Post-traumatic stress disorder, unspecified (follow-up required in 1 week)",MEDIUM
J80 Acute respiratory,HIGH
"B07.9 Viral wart,",LOW
"Ulcerative colitis, unspecified - stable but requires medication adjustment",MEDIUM
"Post-traumatic stress disorder, unspecified - chronic condition, ongoing treatment",MEDIUM
"acute bronchitis, problem",MEDIUM
"Dyslipidemia, unspecified - follow-up required in 1 week",MEDIUM
"Severe presentation, urgent care needed due to Amyotrophic lateral sclerosis (ALS)",HIGH
"G35: Multiple sclerosis (critical condition, ICU admission)",HIGH
"E11.65: Type 2 diabetes with hyperglycemia (advanced stage, palliative care discussed)",HIGH
"Emphysema, unspecified - severe trauma protocol active",HIGH
Suspected Type 2 diabetes mellitus without complications,MEDIUM
Unspecified cirrhosis of liver - severe trauma protocol active,HIGH
"L50.9: Urticaria, unspecified (self-limiting condition)",LOW
K57.30: Diverticulosis of large intestine (recurring symptoms),MEDIUM
"Schizophrenia, unspecified - fatal prognosis risk",HIGH
contusion of problem,LOW
"C43.9: Malignant melanoma of skin, unspecified (fatal prognosis risk)",HIGH
"J45.20: Mild intermittent asthma, uncomplicated (recurring symptoms)",MEDIUM
"J30.9: Allergic rhinitis, unspecified (patient stable, outpatient treatment)",LOW
"J20.9: Acute bronchitis, unspecified (stable but requires medication adjustment)",MEDIUM
"abdominal aortic aneurysm, ruptured",HIGH
"Chronic kidney disease, stage 3 - stable but requires medication adjustment",MEDIUM
"suspected otitis media, unspecified",LOW
"Severe presentation, urgent care needed due to Disseminated intravascular coagulation",HIGH
"suspected sepsis, unspecified organism",HIGH
"J30.9: Allergic rhinitis, unspecified (mild symptoms, no complications)",LOW
assessment: psoriasis vulgaris,MEDIUM
"Urticaria, unspecified - self-limiting condition",LOW
"C25.9: Malignant neoplasm of pancreas, unspecified (critical condition, ICU admission)",HIGH
Atherosclerotic heart disease - recurring symptoms,MEDIUM
"C22.0: Liver cell carcinoma (critical condition, ICU admission)",HIGH
Slight discomfort reported due to Lateral epicondylitis,LOW
Obstructive sleep apnea - recurring symptoms,MEDIUM
Liver cell carcinoma - immediate surgery required,HIGH
"Confirmed case of Iron deficiency anemia, unspecified",LOW
"Slight discomfort reported due to Viral infection, unspecified",LOW
"Peripheral vascular disease, unspecified - needs specialist referral",MEDIUM
Primary insomnia,LOW
"acute tonsillitis, problem",LOW
"Schizophrenia, unspecified - acute emergency, rapid response",HIGH
generalized anxiety disorder,MEDIUM
"Acute kidney failure, unspecified - acute emergency, rapid response",HIGH
Paroxysmal atrial fibrillation,MEDIUM
I25.10 - Atherosclerotic heart disease,MEDIUM
"Self-limiting condition due to Viral wart, unspecified",LOW
"Acute pharyngitis, unspecified - patient stable, outpatient treatment",LOW
"Acute bronchitis, unspecified - chronic condition, ongoing treatment",MEDIUM
"Thrombocytopenia, unspecified",MEDIUM
"Patient stable, outpatient treatment due to Viral wart, unspecified",LOW
multiple sclerosis,HIGH
F41.1: Generalized anxiety disorder (needs specialist referral),MEDIUM
"Constipation, unspecified - no acute distress",LOW
"Patient stable, outpatient treatment due to Contusion of finger",LOW
"L20.9: Atopic dermatitis, unspecified (recurring symptoms)",MEDIUM
"I46.9: Cardiac arrest, cause unspecified (fatal prognosis risk)",HIGH
Chronic obstructive pulmonary disease with exacerbation - stable but requires medication adjustment,MEDIUM
"Crohn disease, unspecified - chronic condition, ongoing treatment",MEDIUM
K57.30: Diverticulosis of large intestine (recurring symptoms),MEDIUM
Severe trauma protocol active due to End stage renal disease,HIGH
"Advanced stage, palliative care discussed due to End stage renal disease",HIGH
"Calculus of gallbladder without obstruction - chronic condition, ongoing treatment",MEDIUM
"J18.9 Pneumonia, unspecified",MEDIUM
S60.0: Contusion of finger (slight discomfort reported),LOW
"H66.90: Otitis media, unspecified (minor pain, prescribed rest)",LOW
N40.0 - Benign prostatic hyperplasia without obstruction,MEDIUM
"Sepsis, unspecified organism - acute emergency, rapid response",HIGH
"H66.90 Otitis media,",LOW
Routine exam due to Contusion of ankle,LOW
J96.00 Acute respiratory,HIGH
"Chronic gingivitis - minor pain, prescribed rest",LOW
"Essential (primary) hypertension - uncomfortable episode, managing with meds",MEDIUM
"Critical condition, icu admission due to Amyotrophic lateral sclerosis (ALS)",HIGH
K57.30 Diverticulosis of,MEDIUM
F41.1: Generalized anxiety disorder (needs specialist referral),MEDIUM
"bipolar disorder, unspecified",MEDIUM
"confirmed case of panniculitis, unspecified",LOW
"Emphysema, unspecified - severe trauma protocol active",HIGH
Confirmed case of End stage renal disease,HIGH
"Minor pain, prescribed rest due to Viral wart, unspecified",LOW
"Patient presents with Impacted cerumen, unspecified ear",LOW
"D50.9: Iron deficiency anemia, unspecified (minor condition, follow-up in 2 weeks)",LOW
"Needs specialist referral due to Anemia, unspecified",MEDIUM
"history of atopic dermatitis, unspecified",MEDIUM
"urticaria, unspecified",LOW
"Critical condition, icu admission due to Cerebral infarction, unspecified (stroke)",HIGH
"assessment: pneumonia, unspecified organism",MEDIUM
K74.60 - Unspecified cirrhosis of liver,HIGH
"Moderate symptoms, requires monitoring due to Chronic kidney disease, stage 3",MEDIUM
"I73.9 - Peripheral vascular disease, unspecified",MEDIUM
Gastro-esophageal reflux with esophagitis - follow-up required in 1 week,MEDIUM
"K02.9: Dental caries, unspecified (slight discomfort reported)",LOW
suspected lateral epicondylitis,LOW
"L30.9 - Dermatitis, unspecified",LOW
Unspecified abdominal pain - routine exam,LOW
"M79.3 - Panniculitis, unspecified",LOW
"Rheumatoid arthritis, unspecified - follow-up required in 1 week",MEDIUM
"Advanced stage, palliative care discussed due to Malignant neoplasm of unspecified part of bronchus or lung",HIGH
"Slight discomfort reported due to Gastritis, unspecified",LOW
"Malignant neoplasm of pancreas, unspecified - acute emergency, rapid response",HIGH
"Chronic viral hepatitis C - uncomfortable episode, managing with meds",MEDIUM
"M47.812: Spondylosis with radiculopathy, cervical (recurring symptoms)",MEDIUM
"I50.9: Heart failure, unspecified (advanced stage, palliative care discussed)",HIGH
I25.10: Atherosclerotic heart disease (stable but requires medication adjustment),MEDIUM
K80.20 Calculus of,MEDIUM
"Minor condition, follow-up in 2 weeks due to Gastritis, unspecified",LOW
"K02.9 - Dental caries, unspecified",LOW
"Thyrotoxicosis, unspecified - uncomfortable episode, managing with meds",MEDIUM
"Epilepsy, unspecified, not intractable - uncomfortable episode, managing with meds",MEDIUM
"Assessment: Alzheimer disease, unspecified",HIGH
"Recurring symptoms due to Dyslipidemia, unspecified",MEDIUM
age-related osteoporosis without fracture,MEDIUM
"A49.9 Bacterial infection,",HIGH
"H10.9 - Conjunctivitis, unspecified",LOW
Primary insomnia - slight discomfort reported,LOW
"M06.9 Rheumatoid arthritis,",MEDIUM
"H66.90: Otitis media, unspecified (minor pain, prescribed rest)",LOW
history of functional dyspepsia,LOW
"G12.21: Amyotrophic lateral sclerosis (ALS) (life-threatening, immediate intervention)",HIGH
"I26.99: Pulmonary embolism without acute cor pulmonale (life-threatening, immediate intervention)",HIGH
Fatal prognosis risk due to Traumatic shock,HIGH
"Patient stable, outpatient treatment due to Otitis media, unspecified",LOW
"Uncomfortable episode, managing with meds due to Thyrotoxicosis, unspecified",MEDIUM
"confirmed case of malignant melanoma of skin, unspecified",HIGH
"Abdominal aortic aneurysm, ruptured",HIGH
"alzheimer disease, problem",HIGH
"F43.10: Post-traumatic stress disorder, unspecified (uncomfortable episode, managing with meds)",MEDIUM
"Immediate surgery required due to Heart failure, unspecified",HIGH
"Life-threatening, immediate intervention due to Acute kidney failure, unspecified",HIGH
"J18.9: Pneumonia, unspecified organism (follow-up required in 1 week)",MEDIUM
"I46.9: Cardiac arrest, cause unspecified (critical condition, ICU admission)",HIGH
"Mild symptoms, no complications due to Otitis media, unspecified",LOW
"confirmed case of intracranial injury, unspecified",HIGH
"heart failure, problem",HIGH
Gastro-esophageal reflux with esophagitis - recurring symptoms,MEDIUM
Fatal prognosis risk due to Acute and subacute hepatic failure,HIGH
"Viral wart, unspecified",LOW
"J96.00 - Acute respiratory failure, unspecified",HIGH
Slight discomfort reported due to Allergic rhinitis due to pollen,LOW
"A49.9 Bacterial infection,",HIGH
"L30.9: Dermatitis, unspecified (self-limiting condition)",LOW
unspecified cirrhosis problem,HIGH
"Abdominal aortic aneurysm, ruptured - acute emergency, rapid response",HIGH
Essential (primary) hypertension,MEDIUM
assessment: acute leukemia of unspecified cell type,HIGH
"C25.9 - Malignant neoplasm of pancreas, unspecified",HIGH
J80 Acute respiratory,HIGH
"K59.00: Constipation, unspecified (patient stable, outpatient treatment)",LOW
malignant neoplasm of unspecified part of bronchus or lung,HIGH
obstructive sleep problem,MEDIUM
"cardiac arrest, problem",HIGH
acute nasopharyngitis problem,LOW
"Advanced stage, palliative care discussed due to Human immunodeficiency virus (HIV) disease",HIGH
"Benign prostatic hyperplasia without obstruction - uncomfortable episode, managing with meds",MEDIUM
"Chronic condition, ongoing treatment due to Chronic kidney disease, stage 3",MEDIUM
"Crohn disease, unspecified - follow-up required in 1 week",MEDIUM
K57.30: Diverticulosis of large intestine (recurring symptoms),MEDIUM
"C34.90: Malignant neoplasm of unspecified part of bronchus or lung (critical condition, ICU admission)",HIGH
"Chronic viral hepatitis C - moderate symptoms, requires monitoring",MEDIUM
"No acute distress due to Allergic rhinitis, unspecified",LOW
"N18.3: Chronic kidney disease, stage 3 (uncomfortable episode, managing with meds)",MEDIUM
"J30.9 - Allergic rhinitis, unspecified",LOW
age-related osteoporosis without fracture,MEDIUM
"viral wart, unspecified",LOW
Vitamin E deficiency - self-limiting condition,LOW
K05.10 - Chronic gingivitis,LOW
Type 2 diabetes mellitus without complications - flare-up event,MEDIUM
"Thrombocytopenia, unspecified",MEDIUM
"Advanced stage, palliative care discussed due to Acute and subacute hepatic failure",HIGH
"Severe trauma protocol active due to Malignant neoplasm of colon, unspecified",HIGH
"K51.90 Ulcerative colitis,",MEDIUM
"K74.60: Unspecified cirrhosis of liver (acute emergency, rapid response)",HIGH
Follow-up required in 1 week due to Parkinson disease,MEDIUM
Slight discomfort reported due to Unspecified abdominal pain,LOW
G20: Parkinson disease (flare-up event),MEDIUM
"N17.9: Acute kidney failure, unspecified (severe trauma protocol active)",HIGH
"Stable but requires medication adjustment due to Bipolar disorder, unspecified",MEDIUM
Flare-up event due to Chronic obstructive pulmonary disease with exacerbation,MEDIUM
"Assessment: Atopic dermatitis, unspecified",MEDIUM
"Life-threatening, immediate intervention due to Amyotrophic lateral sclerosis (ALS)",HIGH
"B34.9: Viral infection, unspecified (no acute distress)",LOW
acute leukemia problem,HIGH
"H66.90 Otitis media,",LOW
"Minor pain, prescribed rest due to Viral wart, unspecified",LOW
I26.99: Pulmonary embolism without acute cor pulmonale (fatal prognosis risk),HIGH
Multiple sclerosis - fatal prognosis risk,HIGH
"Assessment: Mild intermittent asthma, uncomplicated",MEDIUM
"S06.9: Intracranial injury, unspecified (severe trauma protocol active)",HIGH
"Allergic rhinitis, unspecified",LOW
"Thrombocytopenia, unspecified",MEDIUM
"Moderate symptoms, requires monitoring due to Major depressive disorder, single episode, moderate",MEDIUM
"Migraine, unspecified, not intractable - needs specialist referral",MEDIUM
Pulmonary embolism without acute cor pulmonale,HIGH
Slight discomfort reported due to Low back pain,LOW
Gastro-esophageal reflux with esophagitis - recurring symptoms,MEDIUM
"K02.9: Dental caries, unspecified (mild symptoms, no complications)",LOW
"gastritis, unspecified",LOW
"Mild symptoms, no complications due to Unspecified abdominal pain",LOW
"History of Gastritis, unspecified",LOW
J80 Acute respiratory,HIGH
"G12.21: Amyotrophic lateral sclerosis (ALS) (acute emergency, rapid response)",HIGH
"Mild symptoms, no complications due to Otitis media, unspecified",LOW
malignant neoplasm problem,HIGH
Type 2 diabetes with hyperglycemia,HIGH
"No acute distress due to Acute pharyngitis, unspecified",LOW
J30.1: Allergic rhinitis due to pollen (routine exam),LOW
"Acute tonsillitis, unspecified - minor pain, prescribed rest",LOW
R10.9: Unspecified abdominal pain (self-limiting condition),LOW
"Dental caries, unspecified - minor pain, prescribed rest",LOW
contusion of problem,LOW
"N18.6: End stage renal disease (life-threatening, immediate intervention)",HIGH
"Viral infection, unspecified - self-limiting condition",LOW
"J20.9 - Acute bronchitis, unspecified",MEDIUM
Patient presents with Calculus of gallbladder without obstruction,MEDIUM
"Mild symptoms, no complications due to Acute nasopharyngitis (common cold)",LOW
"K59.00 - Constipation, unspecified",LOW
"Rheumatoid arthritis, unspecified",MEDIUM
"dental caries, problem",LOW
history of unspecified cirrhosis of liver,HIGH
"F41.1: Generalized anxiety disorder (chronic condition, ongoing treatment)",MEDIUM
"Minor pain, prescribed rest due to Dermatitis, unspecified",LOW
"F43.10: Post-traumatic stress disorder, unspecified (follow-up required in 1 week)",MEDIUM
"Heart failure, unspecified - severe presentation, urgent care needed",HIGH
History of Acute respiratory distress syndrome,HIGH
D65: Disseminated intravascular coagulation (immediate surgery required),HIGH
"Major depressive disorder, single episode, moderate - moderate symptoms, requires monitoring",MEDIUM
"Slight discomfort reported due to Dental caries, unspecified",LOW
"Minor condition, follow-up in 2 weeks due to Lateral epicondylitis",LOW
"Allergy, unspecified",LOW
